datetime,open,high,low,close,tick_volume,spread,real_volume
2025-09-19 01:00:00,6698.8,6699.91,6697.45,6699.91,49,144,0
2025-09-19 01:01:00,6699.78,6701.28,6699.41,6700.16,47,144,0
2025-09-19 01:02:00,6701.03,6701.41,6700.66,6701.16,24,144,0
2025-09-19 01:03:00,6701.03,6701.03,6700.66,6701.03,18,144,0
2025-09-19 01:04:00,6701.16,6701.91,6700.91,6701.78,26,144,0
2025-09-19 01:05:00,6701.91,6702.16,6701.41,6702.03,23,144,0
2025-09-19 01:06:00,6702.16,6702.16,6701.66,6702.16,12,144,0
2025-09-19 01:07:00,6702.28,6702.66,6702.16,6702.41,16,144,0
2025-09-19 01:08:00,6702.53,6702.66,6702.41,6702.66,21,144,0
2025-09-19 01:09:00,6702.78,6703.16,6702.78,6703.16,7,144,0
2025-09-19 01:10:00,6703.03,6703.41,6702.91,6703.16,24,130,0
2025-09-19 01:11:00,6703.28,6703.66,6703.16,6703.28,11,144,0
2025-09-19 01:12:00,6703.16,6703.16,6702.91,6703.16,3,144,0
2025-09-19 01:13:00,6703.03,6703.16,6702.41,6702.91,10,144,0
2025-09-19 01:14:00,6703.03,6703.66,6703.03,6703.66,13,144,0
2025-09-19 01:15:00,6703.41,6704.16,6703.41,6704.03,8,144,0
2025-09-19 01:16:00,6704.16,6704.16,6703.16,6703.41,14,144,0
2025-09-19 01:17:00,6703.28,6703.66,6703.28,6703.41,10,144,0
2025-09-19 01:18:00,6703.28,6703.41,6703.03,6703.16,10,144,0
2025-09-19 01:19:00,6702.91,6703.16,6702.91,6702.91,5,144,0
2025-09-19 01:20:00,6702.66,6702.91,6702.66,6702.91,11,144,0
2025-09-19 01:21:00,6702.78,6702.91,6702.66,6702.91,8,144,0
2025-09-19 01:22:00,6702.66,6702.66,6702.16,6702.16,8,144,0
2025-09-19 01:23:00,6702.28,6702.91,6702.28,6702.91,9,144,0
2025-09-19 01:24:00,6703.03,6703.41,6703.03,6703.41,6,144,0
2025-09-19 01:25:00,6703.53,6703.66,6703.41,6703.41,13,144,0
2025-09-19 01:26:00,6703.28,6703.53,6703.16,6703.41,12,144,0
2025-09-19 01:27:00,6703.66,6703.66,6703.16,6703.16,3,144,0
2025-09-19 01:28:00,6703.28,6703.91,6703.28,6703.78,15,144,0
2025-09-19 01:29:00,6703.91,6703.91,6703.66,6703.66,5,144,0
2025-09-19 01:30:00,6703.78,6703.91,6703.16,6703.16,11,144,0
2025-09-19 01:31:00,6703.03,6703.16,6702.41,6702.41,12,144,0
2025-09-19 01:32:00,6702.28,6702.41,6702.16,6702.41,4,144,0
2025-09-19 01:33:00,6702.28,6702.41,6701.91,6702.16,22,144,0
2025-09-19 01:34:00,6702.03,6702.16,6701.91,6701.91,8,144,0
2025-09-19 01:35:00,6701.78,6701.78,6701.16,6701.16,8,144,0
2025-09-19 01:36:00,6701.03,6701.03,6699.91,6699.91,14,144,0
