time,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 16:33:00,1.38637,1.38638,1.38626,1.38628,69.0,0.00011,0.0
2025-08-20 16:34:00,1.38628,1.38639,1.38627,1.38637,44.0,0.00011,0.0
2025-08-20 16:35:00,1.38637,1.38643,1.3863,1.38634,70.0,0.00011,0.0
2025-08-20 16:36:00,1.38635,1.38636,1.38613,1.38614,61.0,0.00011,0.0
2025-08-20 16:37:00,1.38615,1.38615,1.38604,1.38608,46.0,0.00011,0.0
2025-08-20 16:38:00,1.38608,1.38609,1.38595,1.38596,19.0,0.00011,0.0
2025-08-20 16:39:00,1.38596,1.38615,1.38592,1.38608,57.0,0.00011,0.0
2025-08-20 16:40:00,1.38608,1.38627,1.38608,1.38626,44.0,0.00011,0.0
2025-08-20 16:41:00,1.38626,1.38628,1.38616,1.38625,39.0,0.00011,0.0
2025-08-20 16:42:00,1.38625,1.38627,1.38606,1.38612,46.0,0.00011,0.0
2025-08-20 16:43:00,1.38612,1.38612,1.38594,1.38596,41.0,0.00011,0.0
2025-08-20 16:44:00,1.38596,1.38596,1.38569,1.38576,57.0,0.00011,0.0
2025-08-20 16:45:00,1.38575,1.38601,1.38575,1.38598,78.0,0.00011,0.0
2025-08-20 16:46:00,1.38598,1.38635,1.38596,1.38633,93.0,0.00011,0.0
2025-08-20 16:47:00,1.38633,1.38637,1.38625,1.38629,66.0,0.00011,0.0
2025-08-20 16:48:00,1.38629,1.38648,1.38627,1.38647,35.0,0.00011,0.0
2025-08-20 16:49:00,1.38646,1.38668,1.38644,1.38664,77.0,0.00011,0.0
2025-08-20 16:50:00,1.38664,1.38696,1.38664,1.38694,74.0,0.00011,0.0
2025-08-20 16:51:00,1.38694,1.38703,1.38686,1.38688,62.0,0.00011,0.0
2025-08-20 16:52:00,1.38687,1.38687,1.38656,1.38676,100.0,0.00011,0.0
2025-08-20 16:53:00,1.38674,1.38702,1.38672,1.38694,103.0,0.00011,0.0
2025-08-20 16:54:00,1.38694,1.38707,1.3869,1.38694,90.0,0.00011,0.0
2025-08-20 16:55:00,1.38693,1.38697,1.38683,1.38697,107.0,0.00011,0.0
2025-08-20 16:56:00,1.38697,1.38711,1.38695,1.38704,101.0,0.00011,0.0
