time,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 16:34:00,6423.24,6424.24,6420.99,6420.99,105,1.29,0
2025-08-20 16:35:00,6421.24,6423.99,6420.74,6420.99,119,1.29,0
2025-08-20 16:36:00,6421.24,6423.49,6420.24,6420.24,121,1.29,0
2025-08-20 16:37:00,6420.49,6423.74,6419.99,6420.99,104,1.29,0
2025-08-20 16:38:00,6421.24,6423.74,6420.74,6422.99,105,1.29,0
2025-08-20 16:39:00,6422.86,6422.99,6418.24,6418.24,89,1.29,0
2025-08-20 16:40:00,6418.36,6419.99,6416.99,6416.99,105,1.29,0
2025-08-20 16:41:00,6416.74,6417.24,6414.99,6416.36,88,1.29,0
2025-08-20 16:42:00,6416.24,6421.99,6415.99,6420.99,94,1.29,0
2025-08-20 16:43:00,6421.24,6421.86,6416.24,6416.24,83,1.29,0
2025-08-20 16:44:00,6416.49,6416.49,6414.49,6414.99,72,1.29,0
2025-08-20 16:45:00,6415.24,6415.49,6411.99,6412.99,89,1.29,0
2025-08-20 16:46:00,6412.74,6414.24,6409.74,6409.74,96,1.29,0
2025-08-20 16:47:00,6409.49,6410.99,6408.49,6409.49,96,1.29,0
2025-08-20 16:48:00,6409.74,6411.24,6409.24,6409.74,92,1.29,0
2025-08-20 16:49:00,6409.86,6411.49,6407.24,6407.24,88,1.29,0
2025-08-20 16:50:00,6406.99,6406.99,6402.74,6403.99,121,1.29,0
2025-08-20 16:51:00,6403.74,6403.99,6397.49,6398.74,125,1.29,0
2025-08-20 16:52:00,6398.49,6401.24,6397.74,6399.24,127,1.29,0
2025-08-20 16:53:00,6399.49,6399.49,6390.49,6391.49,113,1.29,0
2025-08-20 16:54:00,6391.24,6391.24,6387.24,6388.24,129,1.29,0
2025-08-20 16:55:00,6387.99,6392.74,6387.24,6391.49,148,1.29,0
2025-08-20 16:56:00,6390.99,6390.99,6382.49,6387.11,157,1.29,0
2025-08-20 16:57:00,6386.99,6391.24,6386.74,6389.99,140,1.29,0
2025-08-20 16:58:00,6389.74,6389.99,6387.24,6387.99,143,1.29,0
2025-08-20 16:59:00,6388.24,6388.49,6384.49,6386.74,144,1.29,0
2025-08-20 17:00:00,6385.99,6393.49,6385.74,6392.24,160,1.29,0
2025-08-20 17:01:00,6392.11,6394.74,6390.24,6391.74,139,1.29,0
2025-08-20 17:02:00,6391.61,6395.24,6390.74,6394.24,136,1.29,0
2025-08-20 17:03:00,6394.36,6395.74,6392.99,6393.24,112,1.29,0
2025-08-20 17:04:00,6393.49,6394.24,6388.49,6388.49,115,1.29,0
2025-08-20 17:05:00,6387.99,6389.24,6382.99,6383.99,154,1.29,0
2025-08-20 17:06:00,6384.24,6385.24,6380.99,6380.99,128,1.29,0
2025-08-20 17:07:00,6380.74,6382.99,6378.36,6382.49,141,1.29,0
2025-08-20 17:08:00,6382.74,6382.99,6376.49,6376.74,120,1.29,0
2025-08-20 17:09:00,6376.49,6378.49,6375.24,6376.24,136,1.29,0
2025-08-20 17:10:00,6376.49,6378.24,6375.24,6375.24,127,1.29,0
2025-08-20 17:11:00,6375.49,6380.99,6374.74,6378.99,116,1.29,0
2025-08-20 17:12:00,6378.74,6379.49,6375.49,6377.74,135,1.29,0
2025-08-20 17:13:00,6377.49,6380.74,6376.49,6379.99,110,1.29,0
2025-08-20 17:14:00,6379.74,6380.24,6376.99,6377.49,114,1.29,0
2025-08-20 17:15:00,6377.24,6377.99,6375.24,6376.49,123,1.29,0
2025-08-20 17:16:00,6376.24,6376.99,6370.74,6371.49,126,1.29,0
2025-08-20 17:17:00,6371.24,6376.99,6369.49,6376.74,128,1.29,0
2025-08-20 17:18:00,6376.49,6376.99,6372.49,6374.24,132,1.29,0
2025-08-20 17:19:00,6373.99,6380.24,6373.99,6378.99,122,1.29,0
2025-08-20 17:20:00,6378.74,6382.24,6377.49,6380.99,110,1.29,0
2025-08-20 17:21:00,6380.74,6384.49,6379.49,6383.99,125,1.29,0
2025-08-20 17:22:00,6384.24,6384.99,6382.24,6383.74,114,1.29,0
2025-08-20 17:23:00,6383.49,6383.99,6381.99,6383.24,99,1.29,0
2025-08-20 17:24:00,6383.49,6384.24,6380.99,6381.24,101,1.29,0
2025-08-20 17:25:00,6381.49,6384.11,6380.49,6381.49,129,1.29,0
2025-08-20 17:26:00,6381.61,6382.24,6380.24,6380.99,105,1.29,0
2025-08-20 17:27:00,6380.74,6381.74,6377.74,6377.99,111,1.29,0
2025-08-20 17:28:00,6377.74,6378.49,6374.99,6374.99,97,1.29,0
2025-08-20 17:29:00,6374.74,6374.99,6371.74,6372.24,111,1.29,0
2025-08-20 17:30:00,6371.99,6374.24,6369.74,6370.24,127,1.29,0
2025-08-20 17:31:00,6370.49,6373.74,6368.74,6373.49,142,1.29,0
2025-08-20 17:32:00,6373.24,6373.74,6370.24,6371.49,118,1.29,0
2025-08-20 17:33:00,6371.24,6373.99,6370.99,6373.24,117,1.29,0
2025-08-20 17:34:00,6373.11,6374.36,6372.74,6373.99,124,1.29,0
2025-08-20 17:35:00,6374.24,6374.24,6370.24,6372.74,113,1.29,0
2025-08-20 17:36:00,6372.86,6374.99,6371.11,6371.99,127,1.29,0
2025-08-20 17:37:00,6371.74,6374.74,6371.74,6373.49,127,1.29,0
2025-08-20 17:38:00,6373.24,6376.99,6372.99,6375.74,114,1.29,0
2025-08-20 17:39:00,6375.99,6375.99,6371.49,6371.86,83,1.29,0
2025-08-20 17:40:00,6371.49,6372.24,6369.24,6370.24,102,1.29,0
2025-08-20 17:41:00,6370.49,6371.49,6366.74,6370.24,107,1.29,0
2025-08-20 17:42:00,6369.99,6370.74,6367.99,6370.49,106,1.29,0
2025-08-20 17:43:00,6370.24,6370.24,6367.24,6367.49,98,1.29,0
2025-08-20 17:44:00,6367.74,6369.24,6367.49,6368.36,86,1.29,0
2025-08-20 17:45:00,6368.24,6371.11,6367.99,6369.99,100,1.29,0
2025-08-20 17:46:00,6369.74,6370.24,6363.24,6364.74,116,1.29,0
2025-08-20 17:47:00,6364.49,6370.24,6364.49,6369.74,107,1.29,0
2025-08-20 17:48:00,6369.99,6371.24,6365.74,6367.74,108,1.29,0
2025-08-20 17:49:00,6367.49,6368.24,6365.24,6366.24,80,1.29,0
2025-08-20 17:50:00,6366.11,6368.49,6365.49,6365.49,109,1.29,0
2025-08-20 17:51:00,6365.99,6367.24,6363.74,6363.74,119,1.29,0
2025-08-20 17:52:00,6363.99,6365.74,6363.99,6364.86,111,1.29,0
2025-08-20 17:53:00,6364.99,6365.99,6362.24,6362.24,111,1.29,0
2025-08-20 17:54:00,6362.49,6364.49,6362.49,6364.24,87,1.29,0
2025-08-20 17:55:00,6364.49,6365.74,6363.24,6363.86,106,1.29,0
2025-08-20 17:56:00,6363.74,6367.49,6363.24,6365.24,105,1.29,0
2025-08-20 17:57:00,6364.99,6365.24,6362.49,6363.74,96,1.29,0
2025-08-20 17:58:00,6363.99,6366.99,6363.99,6366.24,83,1.29,0
2025-08-20 17:59:00,6366.49,6367.24,6364.99,6366.74,81,1.29,0
2025-08-20 18:00:00,6365.61,6370.24,6364.74,6369.49,125,1.29,0
2025-08-20 18:01:00,6369.24,6369.24,6365.99,6368.74,99,1.29,0
2025-08-20 18:02:00,6368.24,6368.99,6366.74,6366.99,91,1.29,0
2025-08-20 18:03:00,6367.36,6369.99,6367.24,6369.24,91,1.29,0
2025-08-20 18:04:00,6368.99,6370.49,6368.24,6369.99,78,1.29,0
2025-08-20 18:05:00,6370.24,6372.99,6369.74,6372.24,83,1.29,0
2025-08-20 18:06:00,6371.99,6375.99,6370.74,6375.49,84,1.29,0
2025-08-20 18:07:00,6375.24,6377.99,6375.24,6376.49,76,1.29,0
2025-08-20 18:08:00,6376.24,6378.49,6376.24,6378.24,84,1.29,0
2025-08-20 18:09:00,6377.99,6379.99,6377.74,6379.24,71,1.29,0
2025-08-20 18:10:00,6379.36,6379.36,6376.74,6377.24,73,1.29,0
2025-08-20 18:11:00,6377.49,6380.24,6377.49,6379.49,70,1.29,0
2025-08-20 18:12:00,6379.61,6380.74,6379.24,6379.74,62,1.29,0
2025-08-20 18:13:00,6379.99,6379.99,6377.99,6378.24,84,1.29,0
2025-08-20 18:14:00,6378.49,6381.99,6378.49,6381.24,67,1.29,0
2025-08-20 18:15:00,6381.49,6385.74,6381.24,6384.49,81,1.29,0
2025-08-20 18:16:00,6384.74,6386.49,6384.49,6385.24,82,1.29,0
2025-08-20 18:17:00,6385.49,6386.49,6384.24,6386.24,65,1.29,0
2025-08-20 18:18:00,6386.36,6388.99,6386.36,6387.49,81,1.29,0
2025-08-20 18:19:00,6387.74,6388.74,6386.74,6388.24,71,1.29,0
2025-08-20 18:20:00,6387.99,6391.24,6387.74,6390.99,76,1.29,0
2025-08-20 18:21:00,6390.49,6391.49,6389.24,6391.24,76,1.29,0
2025-08-20 18:22:00,6390.99,6393.49,6390.74,6393.24,77,1.29,0
2025-08-20 18:23:00,6393.49,6393.74,6391.24,6392.99,60,1.29,0
2025-08-20 18:24:00,6393.24,6395.99,6392.99,6395.49,56,1.29,0
2025-08-20 18:25:00,6395.74,6396.74,6392.99,6392.99,89,1.29,0
2025-08-20 18:26:00,6393.24,6395.99,6391.99,6395.74,86,1.29,0
2025-08-20 18:27:00,6395.49,6397.24,6395.49,6395.74,68,1.29,0
2025-08-20 18:28:00,6395.99,6396.74,6395.74,6395.99,56,1.29,0
2025-08-20 18:29:00,6396.11,6397.24,6395.99,6396.61,55,1.29,0
2025-08-20 18:30:00,6396.49,6396.99,6393.99,6394.99,88,1.29,0
2025-08-20 18:31:00,6394.86,6397.24,6394.24,6396.74,84,1.29,0
2025-08-20 18:32:00,6396.99,6399.74,6395.99,6398.99,102,1.29,0
2025-08-20 18:33:00,6398.74,6400.24,6398.24,6398.99,55,1.29,0
2025-08-20 18:34:00,6399.24,6401.49,6399.11,6400.49,73,1.29,0
2025-08-20 18:35:00,6400.24,6400.74,6397.99,6397.99,84,1.29,0
2025-08-20 18:36:00,6398.11,6399.24,6395.49,6396.11,80,1.29,0
2025-08-20 18:37:00,6395.99,6399.99,6395.99,6399.99,76,1.29,0
2025-08-20 18:38:00,6400.74,6401.99,6399.24,6399.74,79,1.29,0
2025-08-20 18:39:00,6399.49,6399.99,6395.49,6395.49,68,1.29,0
2025-08-20 18:40:00,6395.74,6397.74,6395.24,6396.74,69,1.29,0
2025-08-20 18:41:00,6396.99,6397.24,6394.74,6395.61,76,1.29,0
2025-08-20 18:42:00,6395.74,6400.99,6395.61,6400.49,79,1.29,0
2025-08-20 18:43:00,6400.74,6400.74,6396.74,6396.74,71,1.29,0
2025-08-20 18:44:00,6396.99,6397.24,6394.99,6395.74,70,1.29,0
2025-08-20 18:45:00,6395.86,6397.99,6395.74,6397.74,78,1.29,0
2025-08-20 18:46:00,6397.61,6397.99,6394.49,6394.74,84,1.29,0
2025-08-20 18:47:00,6395.24,6397.24,6395.24,6395.99,82,1.29,0
