timestamp,open,high,low,close,tick_volume,spread,real_volume
2025-08-13 17:44:00,3363.84,3364.16,3363.32,3364.1,64,17,0
2025-08-13 17:45:00,3364.09,3364.25,3363.05,3363.12,60,17,0
2025-08-13 17:46:00,3363.14,3363.64,3362.0,3362.0,77,15,0
2025-08-13 17:47:00,3362.02,3362.27,3361.29,3361.43,92,17,0
2025-08-13 17:48:00,3361.4,3362.13,3361.19,3362.11,92,18,0
2025-08-13 17:49:00,3362.12,3363.21,3362.12,3362.98,77,17,0
2025-08-13 17:50:00,3362.95,3362.95,3361.62,3362.76,76,12,0
2025-08-13 17:51:00,3362.64,3363.01,3362.16,3362.73,65,17,0
2025-08-13 17:52:00,3362.68,3363.55,3362.66,3363.07,73,17,0
2025-08-13 17:53:00,3363.11,3363.12,3362.12,3362.17,63,17,0
2025-08-13 17:54:00,3362.07,3362.92,3361.93,3362.03,65,17,0
2025-08-13 17:55:00,3362.06,3362.7,3361.88,3361.88,60,17,0
2025-08-13 17:56:00,3361.77,3362.46,3361.77,3362.34,55,17,0
2025-08-13 17:57:00,3362.33,3362.59,3361.76,3361.91,58,17,0
2025-08-13 17:58:00,3362.03,3362.08,3361.06,3361.4,64,17,0
2025-08-13 17:59:00,3361.57,3363.16,3361.57,3363.15,61,17,0
2025-08-13 18:00:00,3363.24,3363.47,3361.7,3361.85,72,17,0
2025-08-13 18:01:00,3361.88,3362.2,3361.24,3361.41,69,15,0
2025-08-13 18:02:00,3361.4,3362.02,3361.24,3361.91,56,17,0
2025-08-13 18:03:00,3361.84,3361.84,3360.15,3360.52,61,17,0
2025-08-13 18:04:00,3360.5,3362.03,3360.22,3361.13,85,17,0
2025-08-13 18:05:00,3361.15,3362.0,3360.91,3360.99,77,18,0
2025-08-13 18:06:00,3360.97,3361.66,3360.89,3360.89,57,16,0
2025-08-13 18:07:00,3360.9,3362.05,3360.74,3361.92,71,17,0
2025-08-13 18:08:00,3361.96,3362.3,3361.1,3361.1,59,14,0
2025-08-13 18:09:00,3361.09,3361.09,3359.52,3360.39,74,16,0
2025-08-13 18:10:00,3360.14,3360.9,3359.55,3359.8,76,17,0
2025-08-13 18:11:00,3359.8,3360.44,3359.8,3360.04,74,17,0
2025-08-13 18:12:00,3360.09,3360.63,3358.08,3358.08,75,17,0
2025-08-13 18:13:00,3358.1,3359.31,3358.1,3358.6,78,17,0
2025-08-13 18:14:00,3358.65,3358.82,3358.13,3358.31,70,17,0
2025-08-13 18:15:00,3358.32,3358.39,3357.45,3357.87,76,17,0
2025-08-13 18:16:00,3357.87,3358.32,3356.92,3358.16,77,17,0
2025-08-13 18:17:00,3358.14,3358.14,3356.3,3356.3,77,16,0
2025-08-13 18:18:00,3356.28,3357.6,3355.95,3357.45,72,17,0
2025-08-13 18:19:00,3357.44,3357.69,3356.53,3356.77,66,17,0
2025-08-13 18:20:00,3356.78,3358.11,3356.77,3357.69,71,17,0
2025-08-13 18:21:00,3357.78,3357.96,3356.76,3356.93,68,17,0
2025-08-13 18:22:00,3357.02,3357.19,3355.71,3356.61,71,17,0
2025-08-13 18:23:00,3356.6,3357.48,3356.59,3356.79,66,17,0
2025-08-13 18:24:00,3356.64,3357.53,3356.42,3357.33,68,17,0
2025-08-13 18:25:00,3357.36,3357.47,3356.46,3356.71,68,17,0
2025-08-13 18:26:00,3356.72,3357.42,3356.64,3357.38,66,17,0
2025-08-13 18:27:00,3357.46,3357.46,3356.68,3356.78,66,17,0
2025-08-13 18:28:00,3356.75,3356.89,3356.05,3356.57,69,17,0
2025-08-13 18:29:00,3356.78,3356.78,3355.89,3355.89,49,17,0
2025-08-13 18:30:00,3355.86,3357.37,3355.82,3356.8,70,17,0
2025-08-13 18:31:00,3356.77,3356.77,3355.78,3355.78,77,18,0
2025-08-13 18:32:00,3355.75,3355.76,3354.62,3354.83,76,16,0
2025-08-13 18:33:00,3354.86,3355.42,3354.65,3355.19,67,18,0
2025-08-13 18:34:00,3355.12,3355.42,3354.38,3355.33,66,17,0
